Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35.00,No,Travel_Rarely,809.00,Research & Development,16.00,3.00,Medical,1.00,Male,84.00,4.00,1.00,Laboratory Technician,2.00,Married,"2,426.00","16,479.00",0.00,No,13.00,3.00,3.00,1.00,6.00,5.00,3.00,5.00,4.00,0.00,3.00
29.00,No,Travel_Rarely,153.00,Research & Development,15.00,2.00,Life Sciences,4.00,Female,49.00,2.00,2.00,Laboratory Technician,3.00,Single,"4,193.00","12,682.00",0.00,Yes,12.00,3.00,4.00,0.00,10.00,3.00,3.00,9.00,5.00,0.00,8.00
31.00,No,Travel_Rarely,670.00,Research & Development,26.00,1.00,Life Sciences,1.00,Male,31.00,3.00,1.00,Research Scientist,3.00,Divorced,"2,911.00","15,170.00",1.00,No,17.00,3.00,4.00,1.00,5.00,1.00,2.00,5.00,2.00,4.00,3.00
34.00,No,Travel_Rarely,"1,346.00",Research & Development,19.00,2.00,Medical,2.00,Male,93.00,3.00,1.00,Laboratory Technician,4.00,Divorced,"2,661.00","8,758.00",0.00,No,11.00,3.00,3.00,1.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00
28.00,Yes,Travel_Rarely,103.00,Research & Development,24.00,3.00,Life Sciences,3.00,Male,50.00,2.00,1.00,Laboratory Technician,3.00,Single,"2,028.00","12,947.00",5.00,Yes,14.00,3.00,2.00,0.00,6.00,4.00,3.00,4.00,2.00,0.00,3.00
29.00,No,Travel_Rarely,"1,389.00",Research & Development,21.00,4.00,Life Sciences,2.00,Female,51.00,4.00,3.00,Manufacturing Director,1.00,Divorced,"9,980.00","10,195.00",1.00,No,11.00,3.00,3.00,1.00,10.00,1.00,3.00,10.00,9.00,8.00,8.00
32.00,No,Travel_Rarely,334.00,Research & Development,5.00,2.00,Life Sciences,1.00,Male,80.00,4.00,1.00,Research Scientist,2.00,Divorced,"3,298.00","15,053.00",0.00,Yes,12.00,3.00,4.00,2.00,7.00,5.00,2.00,6.00,2.00,0.00,5.00
22.00,No,Non-Travel,"1,123.00",Research & Development,16.00,2.00,Medical,4.00,Male,96.00,4.00,1.00,Laboratory Technician,4.00,Divorced,"2,935.00","7,324.00",1.00,Yes,13.00,3.00,2.00,2.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00
53.00,No,Travel_Rarely,"1,219.00",Sales,2.00,4.00,Life Sciences,1.00,Female,78.00,2.00,4.00,Manager,4.00,Married,"15,427.00","22,021.00",2.00,No,16.00,3.00,3.00,0.00,31.00,3.00,3.00,25.00,8.00,3.00,7.00
38.00,No,Travel_Rarely,371.00,Research & Development,2.00,3.00,Life Sciences,4.00,Male,45.00,3.00,1.00,Research Scientist,4.00,Single,"3,944.00","4,306.00",5.00,Yes,11.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,2.00,1.00,2.00
24.00,No,Non-Travel,673.00,Research & Development,11.00,2.00,Other,1.00,Female,96.00,4.00,2.00,Manufacturing Director,3.00,Divorced,"4,011.00","8,232.00",0.00,No,18.00,3.00,4.00,1.00,5.00,5.00,2.00,4.00,2.00,1.00,3.00
36.00,Yes,Travel_Rarely,"1,218.00",Sales,9.00,4.00,Life Sciences,3.00,Male,82.00,2.00,1.00,Sales Representative,1.00,Single,"3,407.00","6,986.00",7.00,No,23.00,4.00,2.00,0.00,10.00,4.00,3.00,5.00,3.00,0.00,3.00
34.00,No,Travel_Rarely,419.00,Research & Development,7.00,4.00,Life Sciences,1.00,Female,53.00,3.00,3.00,Research Director,2.00,Single,"11,994.00","21,293.00",0.00,No,11.00,3.00,3.00,0.00,13.00,4.00,3.00,12.00,6.00,2.00,11.00
21.00,No,Travel_Rarely,391.00,Research & Development,15.00,2.00,Life Sciences,3.00,Male,96.00,3.00,1.00,Research Scientist,4.00,Single,"1,232.00","19,281.00",1.00,No,14.00,3.00,4.00,0.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00
34.00,Yes,Travel_Rarely,699.00,Research & Development,6.00,1.00,Medical,2.00,Male,83.00,3.00,1.00,Research Scientist,1.00,Single,"2,960.00","17,102.00",2.00,No,11.00,3.00,3.00,0.00,8.00,2.00,3.00,4.00,2.00,1.00,3.00
53.00,No,Travel_Rarely,"1,282.00",Research & Development,5.00,3.00,Other,3.00,Female,58.00,3.00,5.00,Manager,3.00,Divorced,"19,094.00","10,735.00",4.00,No,11.00,3.00,4.00,1.00,26.00,3.00,2.00,14.00,13.00,4.00,8.00
32.00,Yes,Travel_Frequently,"1,125.00",Research & Development,16.00,1.00,Life Sciences,2.00,Female,72.00,1.00,1.00,Research Scientist,1.00,Single,"3,919.00","4,681.00",1.00,Yes,22.00,4.00,2.00,0.00,10.00,5.00,3.00,10.00,2.00,6.00,7.00
42.00,No,Travel_Rarely,691.00,Sales,8.00,4.00,Marketing,3.00,Male,48.00,3.00,2.00,Sales Executive,2.00,Married,"6,825.00","21,173.00",0.00,No,11.00,3.00,4.00,1.00,10.00,2.00,3.00,9.00,7.00,4.00,2.00
44.00,No,Travel_Rarely,477.00,Research & Development,7.00,4.00,Medical,1.00,Female,42.00,2.00,3.00,Healthcare Representative,4.00,Married,"10,248.00","2,094.00",3.00,No,14.00,3.00,4.00,1.00,24.00,4.00,3.00,22.00,6.00,5.00,17.00
46.00,No,Travel_Rarely,705.00,Sales,2.00,4.00,Marketing,2.00,Female,83.00,3.00,5.00,Manager,1.00,Single,"18,947.00","22,822.00",3.00,No,12.00,3.00,4.00,0.00,22.00,2.00,2.00,2.00,2.00,2.00,1.00
33.00,No,Travel_Rarely,924.00,Research & Development,2.00,3.00,Medical,3.00,Male,78.00,3.00,1.00,Laboratory Technician,4.00,Single,"2,496.00","6,670.00",4.00,No,11.00,3.00,4.00,0.00,7.00,3.00,3.00,1.00,1.00,0.00,0.00
44.00,No,Travel_Rarely,"1,459.00",Research & Development,10.00,4.00,Other,4.00,Male,41.00,3.00,2.00,Healthcare Representative,4.00,Married,"6,465.00","19,121.00",2.00,Yes,13.00,3.00,4.00,0.00,9.00,5.00,4.00,4.00,2.00,1.00,3.00
30.00,No,Travel_Rarely,125.00,Research & Development,9.00,2.00,Medical,4.00,Male,83.00,2.00,1.00,Laboratory Technician,3.00,Single,"2,206.00","16,117.00",1.00,No,13.00,3.00,1.00,0.00,10.00,5.00,3.00,10.00,0.00,1.00,8.00
39.00,Yes,Travel_Rarely,895.00,Sales,5.00,3.00,Technical Degree,4.00,Male,56.00,3.00,2.00,Sales Representative,4.00,Married,"2,086.00","3,335.00",3.00,No,14.00,3.00,3.00,1.00,19.00,6.00,4.00,1.00,0.00,0.00,0.00
24.00,Yes,Travel_Rarely,813.00,Research & Development,1.00,3.00,Medical,2.00,Male,61.00,3.00,1.00,Research Scientist,4.00,Married,"2,293.00","3,020.00",2.00,Yes,16.00,3.00,1.00,1.00,6.00,2.00,2.00,2.00,0.00,2.00,0.00
43.00,No,Travel_Rarely,"1,273.00",Research & Development,2.00,2.00,Medical,4.00,Female,72.00,4.00,1.00,Research Scientist,3.00,Divorced,"2,645.00","21,923.00",1.00,No,12.00,3.00,4.00,2.00,6.00,3.00,2.00,5.00,3.00,1.00,4.00
50.00,Yes,Travel_Rarely,869.00,Sales,3.00,2.00,Marketing,1.00,Male,86.00,2.00,1.00,Sales Representative,3.00,Married,"2,683.00","3,810.00",1.00,Yes,14.00,3.00,3.00,0.00,3.00,2.00,3.00,3.00,2.00,0.00,2.00
35.00,No,Travel_Rarely,890.00,Sales,2.00,3.00,Marketing,4.00,Female,97.00,3.00,1.00,Sales Representative,4.00,Married,"2,014.00","9,687.00",1.00,No,13.00,3.00,1.00,0.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00
36.00,No,Travel_Rarely,852.00,Research & Development,5.00,4.00,Life Sciences,2.00,Female,82.00,2.00,1.00,Research Scientist,1.00,Married,"3,419.00","13,072.00",9.00,Yes,14.00,3.00,4.00,1.00,6.00,3.00,4.00,1.00,1.00,0.00,0.00
33.00,No,Travel_Frequently,"1,141.00",Sales,1.00,3.00,Life Sciences,3.00,Female,42.00,4.00,2.00,Sales Executive,1.00,Married,"5,376.00","3,193.00",2.00,No,19.00,3.00,1.00,2.00,10.00,3.00,3.00,5.00,3.00,1.00,3.00
35.00,No,Travel_Rarely,464.00,Research & Development,4.00,2.00,Other,3.00,Male,75.00,3.00,1.00,Laboratory Technician,4.00,Divorced,"1,951.00","10,910.00",1.00,No,12.00,3.00,3.00,1.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00
27.00,No,Travel_Rarely,"1,240.00",Research & Development,2.00,4.00,Life Sciences,4.00,Female,33.00,3.00,1.00,Laboratory Technician,1.00,Divorced,"2,341.00","19,715.00",1.00,No,13.00,3.00,4.00,1.00,1.00,6.00,3.00,1.00,0.00,0.00,0.00
26.00,Yes,Travel_Rarely,"1,357.00",Research & Development,25.00,3.00,Life Sciences,1.00,Male,48.00,1.00,1.00,Laboratory Technician,3.00,Single,"2,293.00","10,558.00",1.00,No,12.00,3.00,3.00,0.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00
27.00,No,Travel_Frequently,994.00,Sales,8.00,3.00,Life Sciences,4.00,Male,37.00,3.00,3.00,Sales Executive,3.00,Single,"8,726.00","2,975.00",1.00,No,15.00,3.00,4.00,0.00,9.00,0.00,3.00,9.00,8.00,1.00,7.00
30.00,No,Travel_Frequently,721.00,Research & Development,1.00,2.00,Medical,3.00,Female,58.00,3.00,2.00,Laboratory Technician,4.00,Single,"4,011.00","10,781.00",1.00,No,23.00,4.00,4.00,0.00,12.00,2.00,3.00,12.00,8.00,3.00,7.00
41.00,Yes,Travel_Rarely,"1,360.00",Research & Development,12.00,3.00,Technical Degree,2.00,Female,49.00,3.00,5.00,Research Director,3.00,Married,"19,545.00","16,280.00",1.00,No,12.00,3.00,4.00,0.00,23.00,0.00,3.00,22.00,15.00,15.00,8.00
34.00,No,Non-Travel,"1,065.00",Sales,23.00,4.00,Marketing,2.00,Male,72.00,3.00,2.00,Sales Executive,3.00,Single,"4,568.00","10,034.00",0.00,No,20.00,4.00,3.00,0.00,10.00,2.00,3.00,9.00,5.00,8.00,7.00
37.00,No,Travel_Rarely,408.00,Research & Development,19.00,2.00,Life Sciences,2.00,Male,73.00,3.00,1.00,Research Scientist,2.00,Married,"3,022.00","10,227.00",4.00,No,21.00,4.00,1.00,0.00,8.00,1.00,3.00,1.00,0.00,0.00,0.00
46.00,No,Travel_Frequently,"1,211.00",Sales,5.00,4.00,Marketing,1.00,Male,98.00,3.00,2.00,Sales Executive,4.00,Single,"5,772.00","20,445.00",4.00,Yes,21.00,4.00,3.00,0.00,14.00,4.00,3.00,9.00,6.00,0.00,8.00
35.00,No,Travel_Rarely,"1,229.00",Research & Development,8.00,1.00,Life Sciences,4.00,Male,36.00,4.00,1.00,Laboratory Technician,4.00,Married,"2,269.00","4,892.00",1.00,No,19.00,3.00,4.00,0.00,1.00,2.00,3.00,1.00,0.00,0.00,1.00
48.00,Yes,Travel_Rarely,626.00,Research & Development,1.00,2.00,Life Sciences,1.00,Male,98.00,2.00,3.00,Laboratory Technician,3.00,Single,"5,381.00","19,294.00",9.00,Yes,13.00,3.00,4.00,0.00,23.00,2.00,3.00,1.00,0.00,0.00,0.00
28.00,Yes,Travel_Rarely,"1,434.00",Research & Development,5.00,4.00,Technical Degree,3.00,Male,50.00,3.00,1.00,Laboratory Technician,3.00,Single,"3,441.00","11,179.00",1.00,Yes,13.00,3.00,3.00,0.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00
44.00,No,Travel_Rarely,"1,488.00",Sales,1.00,5.00,Marketing,2.00,Female,75.00,3.00,2.00,Sales Executive,1.00,Divorced,"5,454.00","4,009.00",5.00,Yes,21.00,4.00,3.00,1.00,9.00,2.00,2.00,4.00,3.00,1.00,3.00
35.00,No,Non-Travel,"1,097.00",Research & Development,11.00,2.00,Medical,3.00,Male,79.00,2.00,3.00,Healthcare Representative,1.00,Married,"9,884.00","8,302.00",2.00,Yes,13.00,3.00,3.00,1.00,10.00,3.00,3.00,4.00,0.00,2.00,3.00
26.00,No,Travel_Rarely,"1,443.00",Sales,23.00,3.00,Marketing,3.00,Female,47.00,2.00,2.00,Sales Executive,4.00,Married,"4,157.00","21,436.00",7.00,Yes,19.00,3.00,3.00,1.00,5.00,2.00,2.00,2.00,2.00,0.00,0.00
33.00,No,Travel_Frequently,515.00,Research & Development,1.00,2.00,Life Sciences,1.00,Female,98.00,3.00,3.00,Research Director,4.00,Single,"13,458.00","15,146.00",1.00,Yes,12.00,3.00,3.00,0.00,15.00,1.00,3.00,15.00,14.00,8.00,12.00
35.00,No,Travel_Frequently,853.00,Sales,18.00,5.00,Life Sciences,2.00,Male,71.00,3.00,3.00,Sales Executive,1.00,Married,"9,069.00","11,031.00",1.00,No,22.00,4.00,4.00,1.00,9.00,3.00,2.00,9.00,8.00,1.00,8.00
35.00,No,Travel_Rarely,"1,142.00",Research & Development,23.00,4.00,Medical,3.00,Female,30.00,3.00,1.00,Laboratory Technician,1.00,Married,"4,014.00","16,002.00",3.00,Yes,15.00,3.00,3.00,1.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00
31.00,No,Travel_Rarely,655.00,Research & Development,7.00,4.00,Life Sciences,4.00,Male,48.00,3.00,2.00,Laboratory Technician,4.00,Divorced,"5,915.00","9,528.00",3.00,No,22.00,4.00,4.00,1.00,10.00,3.00,2.00,7.00,7.00,1.00,7.00
37.00,No,Travel_Rarely,"1,115.00",Research & Development,1.00,4.00,Life Sciences,1.00,Male,51.00,2.00,2.00,Manufacturing Director,3.00,Divorced,"5,993.00","2,689.00",1.00,No,18.00,3.00,3.00,1.00,7.00,2.00,4.00,7.00,5.00,0.00,7.00
32.00,No,Travel_Rarely,427.00,Research & Development,1.00,3.00,Medical,1.00,Male,33.00,3.00,2.00,Manufacturing Director,4.00,Married,"6,162.00","10,877.00",1.00,Yes,22.00,4.00,2.00,1.00,9.00,3.00,3.00,9.00,8.00,7.00,8.00
38.00,No,Travel_Frequently,653.00,Research & Development,29.00,5.00,Life Sciences,4.00,Female,50.00,3.00,2.00,Laboratory Technician,4.00,Single,"2,406.00","5,456.00",1.00,No,11.00,3.00,4.00,0.00,10.00,2.00,3.00,10.00,3.00,9.00,9.00
50.00,No,Travel_Rarely,989.00,Research & Development,7.00,2.00,Medical,2.00,Female,43.00,2.00,5.00,Research Director,3.00,Divorced,"18,740.00","16,701.00",5.00,Yes,12.00,3.00,4.00,1.00,29.00,2.00,2.00,27.00,3.00,13.00,8.00
59.00,No,Travel_Rarely,"1,435.00",Sales,25.00,3.00,Life Sciences,1.00,Female,99.00,3.00,3.00,Sales Executive,1.00,Single,"7,637.00","2,354.00",7.00,No,11.00,3.00,4.00,0.00,28.00,3.00,2.00,21.00,16.00,7.00,9.00
36.00,No,Travel_Rarely,"1,223.00",Research & Development,8.00,3.00,Technical Degree,3.00,Female,59.00,3.00,3.00,Healthcare Representative,3.00,Divorced,"10,096.00","8,202.00",1.00,No,13.00,3.00,2.00,3.00,17.00,2.00,3.00,17.00,14.00,12.00,8.00
55.00,No,Travel_Rarely,836.00,Research & Development,8.00,3.00,Medical,4.00,Female,33.00,3.00,4.00,Manager,3.00,Divorced,"14,756.00","19,730.00",2.00,Yes,14.00,3.00,3.00,3.00,21.00,2.00,3.00,5.00,0.00,0.00,2.00
36.00,No,Travel_Frequently,"1,195.00",Research & Development,11.00,3.00,Life Sciences,2.00,Male,95.00,2.00,2.00,Manufacturing Director,2.00,Single,"6,499.00","22,656.00",1.00,No,13.00,3.00,3.00,0.00,6.00,3.00,3.00,6.00,5.00,0.00,3.00
45.00,No,Travel_Rarely,"1,339.00",Research & Development,7.00,3.00,Life Sciences,2.00,Male,59.00,3.00,3.00,Research Scientist,1.00,Divorced,"9,724.00","18,787.00",2.00,No,17.00,3.00,3.00,1.00,25.00,2.00,3.00,1.00,0.00,0.00,0.00
35.00,No,Travel_Frequently,664.00,Research & Development,1.00,3.00,Medical,2.00,Male,79.00,3.00,1.00,Research Scientist,1.00,Married,"2,194.00","5,868.00",4.00,No,13.00,3.00,4.00,1.00,5.00,2.00,2.00,3.00,2.00,1.00,2.00
36.00,Yes,Travel_Rarely,318.00,Research & Development,9.00,3.00,Medical,4.00,Male,79.00,2.00,1.00,Research Scientist,3.00,Married,"3,388.00","21,777.00",0.00,Yes,17.00,3.00,1.00,1.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00
59.00,No,Travel_Frequently,"1,225.00",Sales,1.00,1.00,Life Sciences,1.00,Female,57.00,2.00,2.00,Sales Executive,3.00,Single,"5,473.00","24,668.00",7.00,No,11.00,3.00,4.00,0.00,20.00,2.00,2.00,4.00,3.00,1.00,3.00
29.00,No,Travel_Rarely,"1,328.00",Research & Development,2.00,3.00,Life Sciences,3.00,Male,76.00,3.00,1.00,Research Scientist,2.00,Married,"2,703.00","4,956.00",0.00,No,23.00,4.00,4.00,1.00,6.00,3.00,3.00,5.00,4.00,0.00,4.00
31.00,No,Travel_Rarely,"1,082.00",Research & Development,1.00,4.00,Medical,3.00,Male,87.00,3.00,1.00,Research Scientist,2.00,Single,"2,501.00","18,775.00",1.00,No,17.00,3.00,2.00,0.00,1.00,4.00,3.00,1.00,1.00,1.00,0.00
32.00,No,Travel_Rarely,548.00,Research & Development,1.00,3.00,Life Sciences,2.00,Male,66.00,3.00,2.00,Research Scientist,2.00,Married,"6,220.00","7,346.00",1.00,No,17.00,3.00,2.00,2.00,10.00,3.00,3.00,10.00,4.00,0.00,9.00
36.00,No,Travel_Rarely,132.00,Research & Development,6.00,3.00,Life Sciences,2.00,Female,55.00,4.00,1.00,Laboratory Technician,4.00,Married,"3,038.00","22,002.00",3.00,No,12.00,3.00,2.00,0.00,5.00,3.00,3.00,1.00,0.00,0.00,0.00
31.00,No,Travel_Rarely,746.00,Research & Development,8.00,4.00,Life Sciences,3.00,Female,61.00,3.00,2.00,Manufacturing Director,4.00,Single,"4,424.00","20,682.00",1.00,No,23.00,4.00,4.00,0.00,11.00,2.00,3.00,11.00,7.00,1.00,8.00
35.00,No,Travel_Rarely,776.00,Sales,1.00,4.00,Marketing,3.00,Male,32.00,2.00,2.00,Sales Executive,1.00,Single,"4,312.00","23,016.00",0.00,No,14.00,3.00,2.00,0.00,16.00,2.00,3.00,15.00,13.00,2.00,8.00
45.00,No,Travel_Rarely,193.00,Research & Development,6.00,4.00,Other,4.00,Male,52.00,3.00,3.00,Research Director,1.00,Married,"13,245.00","15,067.00",4.00,Yes,14.00,3.00,2.00,0.00,17.00,3.00,4.00,0.00,0.00,0.00,0.00
37.00,No,Travel_Rarely,397.00,Research & Development,7.00,4.00,Medical,1.00,Male,30.00,3.00,3.00,Research Director,3.00,Single,"13,664.00","25,258.00",4.00,No,13.00,3.00,1.00,0.00,16.00,3.00,4.00,5.00,2.00,0.00,2.00
46.00,No,Travel_Rarely,945.00,Human Resources,5.00,2.00,Medical,2.00,Male,80.00,3.00,2.00,Human Resources,2.00,Divorced,"5,021.00","10,425.00",8.00,Yes,22.00,4.00,4.00,1.00,16.00,2.00,3.00,4.00,2.00,0.00,2.00
30.00,No,Travel_Rarely,852.00,Research & Development,1.00,1.00,Life Sciences,4.00,Male,55.00,2.00,2.00,Laboratory Technician,4.00,Married,"5,126.00","15,998.00",1.00,Yes,12.00,3.00,3.00,2.00,10.00,1.00,2.00,10.00,8.00,3.00,0.00
35.00,No,Travel_Rarely,"1,214.00",Research & Development,1.00,3.00,Medical,2.00,Male,30.00,2.00,1.00,Research Scientist,3.00,Single,"2,859.00","26,278.00",1.00,No,18.00,3.00,1.00,0.00,6.00,3.00,3.00,6.00,4.00,0.00,4.00
55.00,No,Travel_Rarely,111.00,Sales,1.00,2.00,Life Sciences,1.00,Male,70.00,3.00,3.00,Sales Executive,4.00,Married,"10,239.00","18,092.00",3.00,No,14.00,3.00,4.00,1.00,24.00,4.00,3.00,1.00,0.00,1.00,0.00
38.00,No,Non-Travel,573.00,Research & Development,6.00,3.00,Medical,2.00,Female,79.00,1.00,2.00,Research Scientist,4.00,Divorced,"5,329.00","15,717.00",7.00,Yes,12.00,3.00,4.00,3.00,17.00,3.00,3.00,13.00,11.00,1.00,9.00
34.00,No,Travel_Rarely,"1,153.00",Research & Development,1.00,2.00,Medical,1.00,Male,94.00,3.00,2.00,Manufacturing Director,2.00,Married,"4,325.00","17,736.00",1.00,No,15.00,3.00,3.00,0.00,5.00,2.00,3.00,5.00,2.00,1.00,3.00
56.00,No,Travel_Rarely,"1,400.00",Research & Development,7.00,3.00,Life Sciences,4.00,Male,49.00,1.00,3.00,Manufacturing Director,4.00,Single,"7,260.00","21,698.00",4.00,No,11.00,3.00,1.00,0.00,37.00,3.00,2.00,6.00,4.00,0.00,2.00
23.00,No,Travel_Rarely,541.00,Sales,2.00,1.00,Technical Degree,3.00,Male,62.00,3.00,1.00,Sales Representative,1.00,Divorced,"2,322.00","9,518.00",3.00,No,13.00,3.00,3.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00
51.00,No,Travel_Rarely,432.00,Research & Development,9.00,4.00,Life Sciences,4.00,Male,96.00,3.00,1.00,Laboratory Technician,4.00,Married,"2,075.00","18,725.00",3.00,No,23.00,4.00,2.00,2.00,10.00,4.00,3.00,4.00,2.00,0.00,3.00
30.00,No,Travel_Rarely,288.00,Research & Development,2.00,3.00,Life Sciences,3.00,Male,99.00,2.00,2.00,Healthcare Representative,4.00,Married,"4,152.00","15,830.00",1.00,No,19.00,3.00,1.00,3.00,11.00,3.00,3.00,11.00,10.00,10.00,8.00
46.00,Yes,Travel_Rarely,669.00,Sales,9.00,2.00,Medical,3.00,Male,64.00,2.00,3.00,Sales Executive,4.00,Single,"9,619.00","13,596.00",1.00,No,16.00,3.00,4.00,0.00,9.00,3.00,3.00,9.00,8.00,4.00,7.00
40.00,No,Travel_Frequently,530.00,Research & Development,1.00,4.00,Life Sciences,3.00,Male,78.00,2.00,4.00,Healthcare Representative,2.00,Married,"13,503.00","14,115.00",1.00,No,22.00,4.00,4.00,1.00,22.00,3.00,2.00,22.00,3.00,11.00,11.00
51.00,No,Travel_Rarely,632.00,Sales,21.00,4.00,Marketing,3.00,Male,71.00,3.00,2.00,Sales Executive,4.00,Single,"5,441.00","8,423.00",0.00,Yes,22.00,4.00,4.00,0.00,11.00,2.00,1.00,10.00,7.00,1.00,0.00
30.00,No,Travel_Rarely,"1,334.00",Sales,4.00,2.00,Medical,3.00,Female,63.00,2.00,2.00,Sales Executive,2.00,Divorced,"5,209.00","19,760.00",1.00,Yes,12.00,3.00,2.00,3.00,11.00,4.00,2.00,11.00,8.00,2.00,7.00
46.00,No,Travel_Frequently,638.00,Research & Development,1.00,3.00,Medical,3.00,Male,40.00,2.00,3.00,Healthcare Representative,1.00,Married,"10,673.00","3,142.00",2.00,Yes,13.00,3.00,3.00,1.00,21.00,5.00,2.00,10.00,9.00,9.00,5.00
32.00,No,Travel_Rarely,"1,093.00",Sales,6.00,4.00,Medical,2.00,Male,87.00,3.00,2.00,Sales Executive,3.00,Single,"5,010.00","24,301.00",1.00,No,16.00,3.00,1.00,0.00,12.00,0.00,3.00,11.00,8.00,5.00,7.00
54.00,No,Travel_Rarely,"1,217.00",Research & Development,2.00,4.00,Technical Degree,1.00,Female,60.00,3.00,3.00,Research Director,3.00,Married,"13,549.00","24,001.00",9.00,No,12.00,3.00,1.00,1.00,16.00,5.00,1.00,4.00,3.00,0.00,3.00
24.00,No,Travel_Rarely,"1,353.00",Sales,3.00,2.00,Other,1.00,Female,33.00,3.00,2.00,Sales Executive,3.00,Married,"4,999.00","17,519.00",0.00,No,21.00,4.00,1.00,1.00,4.00,2.00,2.00,3.00,2.00,0.00,2.00
28.00,No,Non-Travel,120.00,Sales,4.00,3.00,Medical,2.00,Male,43.00,3.00,2.00,Sales Executive,3.00,Married,"4,221.00","8,863.00",1.00,No,15.00,3.00,2.00,0.00,5.00,3.00,4.00,5.00,4.00,0.00,4.00
